"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"1013",1,2,2,1,1,1,1,1,1,1,1,-38400,-600,-2700,-16500,-1100,-500,-1000,-12000,1000,-4400,-600,0,FALSE
"8241",1,2,2,1,1,1,1,2,1,1,2,-66000,-500,-2700,-17500,-1100,-500,-1200,-24000,-1800,-4400,-1300,-11000,FALSE
"9641",1,2,2,1,1,1,1,2,1,1,1,-44000,-1000,-2700,-17500,-1100,-500,-200,-14000,-1800,-4400,-800,0,FALSE
"4",1,2,2,1,2,2,2,2,2,2,2,-10200,-2300,-200,-1500,-2800,100,-400,-3000,-400,0,-200,500,FALSE
"29",1,2,2,1,1,2,2,2,2,2,2,-16400,-2400,-200,-2000,-2800,-3000,-800,-5000,-400,0,-300,500,FALSE
"32",1,2,2,1,2,2,2,1,2,2,2,-10200,-1900,-200,-500,-2800,100,400,-5000,-400,0,-400,500,FALSE
"35",1,2,2,1,2,2,2,2,2,2,1,-34200,-2800,-200,-1500,-2800,100,-1400,-13000,-400,0,-700,-11500,FALSE
"123",1,2,2,1,1,2,2,1,2,2,2,-16400,-2000,-200,-1000,-2800,-3000,0,-7000,-400,0,-500,500,FALSE
"126",1,2,2,1,1,2,2,2,2,2,1,-40400,-2900,-200,-2000,-2800,-3000,-1800,-15000,-400,0,-800,-11500,FALSE
"138",1,2,2,1,2,2,2,1,2,2,1,-34200,-2400,-200,-500,-2800,100,-600,-15000,-400,0,-900,-11500,FALSE
"328",1,2,2,1,1,2,2,1,2,2,1,-40400,-2500,-200,-1000,-2800,-3000,-1000,-17000,-400,0,-1000,-11500,FALSE
"5",1,2,2,2,1,2,2,2,2,2,2,-10400,-2200,-100,-1000,200,-3000,-600,-4000,-400,400,-200,500,FALSE
"14",1,1,2,2,1,2,2,2,2,2,2,-14400,-2100,-2100,-500,100,-3000,-600,-6000,-400,0,-300,500,FALSE
